name,status,date,count,unit_cost,link
300W Power Inverter,No Install,2018-03-26,1,30,https://www.amazon.com/gp/product/B004MDXS0U/
24W Dual USB Car Charger,No Install,2018-03-26,1,9,https://www.amazon.com/gp/product/B00VH84L5E/
Grab Handles (Set of 4),Installed,2018-04-04,1,50,https://www.amazon.com/gp/product/B06XTX4Q3M/
Dead Petal,Installed,2018-04-04,1,13,https://www.amazon.com/gp/product/B017GYSUWC/
Ram Mounts X-Grip,Installed,2018-04-04,1,48,https://www.amazon.com/gp/product/B006X387ZS/
Rear Seat Recline Kit,Installed,2018-04-04,1,28,
Vector JKE Dock 44.5in,Installed,2018-04-16,1,200,https://vectoroffroad.com/products/jke-dock-2011-2017
MAXIMUS-3 Stinger,Installed,2018-04-17,1,384,https://maximus-3.com/10ax-and-hard-rock/maximus-3-stinger-no-stars-bar#/led_bracke-select_led
KC HiLiTES 5-tab Overhead Light Bar,Installed,2018-06-04,1,176,https://www.amazon.com/gp/product/B007PZW1XC/
7in round 80W Combo Beam,Installed,2018-06-04,5,80,https://www.amazon.com/gp/product/B00WJPGSD2/
6-Circuit Blade Fuse Block with Cover,Removed,2018-06-04,1,10,https://www.amazon.com/gp/product/B01GV78UP2/
Kargo Master Congo Pro Hinge Step Kit,Installed,2018-06-05,2,80,https://www.quadratec.com/products/12138_1035_14.htm
Quadratec Adventure Mirrors with Square Head,As Needed,2018-06-05,1,50,https://www.quadratec.com/products/13111_0400_14.htm
Alien Sunshade (2 piece),As Needed,2018-06-05,1,120,https://www.amazon.com/gp/product/B079SMW9R8/
Folding J-Style Kayak Holders (Pair),As Needed,2018-06-12,2,179,http://www.rhinorack.com/en-us/products/sport-leisure/water/kayak-carriers/folding-j-style-kayak-carrier_s512
Pioneer Platform (76 x 54in),Installed,2018-06-12,1,739,http://www.rhinorack.com/en-us/products/roof/roof-trays/pioneer-platforms/pioneer-platform-76-x-54-unassembled_42103bf
Pioneer Accessory Bar (4.4ft) (Pair),Installed,2018-06-12,1,115,http://www.rhinorack.com/en-us/products/roof/roof-trays/pioneer-platform-acc/pioneer-accessory-bar-hd-c-channel-1220mm-4ft-_43119b
Pioneer Worklight Bracket,Installed,2018-06-12,6,25,http://www.rhinorack.com/en-us/products/spares-brackets-components/brackets/light-brackets/pioneer-worklight-bracket_43234
Rhino Rack Backbone,Installed,2018-06-12,1,399,
Pioneer Leg Mounts (Set of 6),Installed,2018-06-12,1,201,
4.5in 45W Flood Light,Installed,2018-06-12,6,33,https://www.amazon.com/gp/product/B0743CPSWZ/
Pioneer Maxtrax Flat Bracket (Pair),As Needed,2018-07-30,1,169,http://www.rhinorack.com/en-us/products/roof/roof-trays/pioneer-platform-acc/pioneer-recovery-track-flat-bracket_43235
ARB E-Z Deflator,No Install,2018-07-30,1,39,https://www.amazon.com/gp/product/B004LQCDOA/
Maxtrax MKIIs (Pair),Installed,2018-07-30,1,300,https://www.amazon.com/gp/product/B00HYCVSW6/
Pioneer Fishing Rod Holder Bracket (Pair),As Needed,2018-12-14,2,109,
Fishing Rod Holder (Pair),As Needed,2018-12-14,2,109,
CableClam,Installed,2018-12-17,3,15,https://www.amazon.com/gp/product/B0002UEOIW/
Deegan 38 Fender Flares (Set of 4),Installed,2018-12-17,1,600,https://www.extremeterrain.com/deegan-38-fender-flares-w-led-marker-lights-0717-jk.html
Rough Country Inner Fenders (Set of 4),Installed,2018-12-17,1,350,https://www.extremeterrain.com/rough-countryner-fenders-0718-jk.html
Smittybilt GEAR Tailgate Cover,Installed,2018-12-23,1,58,https://www.quadratec.com/products/14070_921X_PG.htm
Mopar Rear License Plate Delete,Installed,2018-12-23,1,23,https://www.quadratec.com/products/55004_1210.htm
Warrior Products Spare Tire License Plate Mount,Installed,2018-12-23,1,134,https://www.quadratec.com/products/12526_1031_07.htm
Teraflex Rear Utility Cargo Rack,Installed,2018-12-25,1,285,https://www.quadratec.com/products/12226_120X_PG.htm
Pioneer LED Light Bracket (2 Pack),Removed,2019-03-05,3,49,http://www.rhinorack.com/en-us/products/spares-brackets-components/brackets/light-brackets/pioneer-led-light-bracket-2-pack-_43156
AEV 2.5in DualSport XT Suspension System,Installed,2019-05-12,1,1000,https://www.quadratec.com/products/16502_4414_07.htm
Quadratec Classic Acorn Style Wheel Lug Nut Kit,Installed,2019-05-12,1,40,https://www.quadratec.com/products/92806_900X_B_PG.htm
Rugged Ridge Spartacus HD Tire Carrier,Installed,2019-05-12,1,500,https://www.quadratec.com/products/12052_1760_07.htm
Rugged Ridge Billet Aluminum 1.5in Wheel Spacers (Pair),Installed,2019-05-12,2,100,https://www.quadratec.com/products/92807_104.htm
AEV Geometry Correction Brackets,Installed,2019-05-13,1,170,https://www.quadratec.com/products/17619_1002.htm
AEV ProCal Module,No Install,2019-05-13,1,105,https://www.quadratec.com/p/aev/geometry-correction-brackets-07-17-wrangler
GRABBER X3 LT35X12.5R17 Tires,Installed,2019-05-14,5,314,https://www.tirerack.com/tires/tires.jsp?tireMake=General&tireModel=Grabber+X3&partnum=525QR7GRX3RL
WARN Roll Bar Fire Extinguisher Holder,Installed,2019-12-25,1,27.99,https://www.quadratec.com/p/warn/epic-trail-gear-standard-duty-roll-bar-fire-extinguisher-holder
H3R Performance Fire Extinguisher,Installed,2019-12-25,1,86.99,https://www.quadratec.com/products/98003_001X_PG.htm
Rough Country Multiple Light Controller,Installed,2019-12-25,1,199.95,https://www.quadratec.com/p/rough-country/mlc-6-multiple-light-controller-jeep-wrangler-jk-70959
DV8 Locking Hood Hold Downs with Turnbuckle,Installed,2019-12-28,1,149.99,https://www.quadratec.com/p/drake-off-road/hood-hold-downs-turnbuckles-07-17-jeep-wrangler-jk
"Smittybilt X2O Winch (Synthetic, 10000 lbs)",Installed,2020-05-01,1,418.99,https://www.quadratec.com/p/smittybilt/x2o-10-gen2-winch-97510
Smittybilt Snatch Block,As Needed,2020-05-01,1,29.99,https://www.quadratec.com/products/92144_8008.htm
MAXIMUS-3 Centered Winch Mount Set-Up,Installed,2020-06-06,1,204.29,https://maximus-3.com/10ax-and-hard-rock/centered-winch-mount-set-up-centered-setup-with-centering-plate-only-for-small-body-winches#/optional_accessories-default_selection
MAXIMUS-3 Max Glide Fairleads (Red),Installed,2020-06-06,1,62.99,https://maximus-3.com/home/max-glide-fairleads-performance-fairleads-red#/
MAXIMUS-3 Standard Filler Trim Plates,Installed,2020-06-06,1,62.09,https://maximus-3.com/accessories/standard-filler-trim-plates
MAXIMUS-3 Stealth Mount License Plate Bracket,Installed,2020-06-06,1,59.39,https://maximus-3.com/home/stealth-mount-license-plate-bracket
